"stage","destination","source","rationale"
"Phase 1 discovery NEST10","1_discovery_nest10/README.md","results/1_discovery_nest10/README.md","Stage guide"
"Phase 1 discovery NEST10","1_discovery_nest10/REGIME_FIRST_THESIS_RESULTS_COMPACT__ALL_SEEDS.csv","results/1_discovery_nest10/REGIME_FIRST_THESIS_RESULTS_COMPACT__ALL_SEEDS.csv","Compact candidate-level results across seeds"
"Phase 1 discovery NEST10","1_discovery_nest10/REGIME_FIRST__ALL_FAMILIES_SUMMARY__ALL_SEEDS.csv","results/1_discovery_nest10/REGIME_FIRST__ALL_FAMILIES_SUMMARY__ALL_SEEDS.csv","Family-level summary across seeds"
"Phase 1 discovery NEST10","1_discovery_nest10/REGIME_FIRST_SEED_STABILITY_SUMMARY.csv","results/1_discovery_nest10/REGIME_FIRST_SEED_STABILITY_SUMMARY.csv","Seed-stability summary"
"Phase 1 discovery NEST10","1_discovery_nest10/MULTISEED_METHOD_AUDIT_SUMMARY.csv","results/1_discovery_nest10/MULTISEED_METHOD_AUDIT_SUMMARY.csv","Method audit across seeds"
"Phase 1 fixed-weight validation","2_fixed_weight_validation_nest10/README.md","results/2_fixed_weight_validation_nest10/README.md","Stage guide"
"Phase 1 fixed-weight validation","2_fixed_weight_validation_nest10/tables/post_discovery_fixed_weight_validation_final_decision_table.csv","results/2_fixed_weight_validation_nest10/tables/post_discovery_fixed_weight_validation_final_decision_table.csv","Final fixed-weight validation decisions"
"Phase 1 fixed-weight validation","2_fixed_weight_validation_nest10/root_summaries/post_discovery_fixed_weight_validation_stability_summary.csv","results/2_fixed_weight_validation_nest10/root_summaries/post_discovery_fixed_weight_validation_stability_summary.csv","Regime stability summary"
"Phase 1 fixed-weight validation","2_fixed_weight_validation_nest10/audit/post_discovery_fixed_weight_validation_code_hashes.csv","results/2_fixed_weight_validation_nest10/audit/post_discovery_fixed_weight_validation_code_hashes.csv","Code provenance for the recorded run"
"Phase 2 expanded discovery NEST26","3_validation_nest26/README.md","results/3_validation_nest26/README.md","Stage guide"
"Phase 2 expanded discovery NEST26","3_validation_nest26/combined_final_regime_results_all_rows.csv","results/3_validation_nest26/combined_final_regime_results_all_rows.csv","Combined final regime results"
"Phase 2 expanded discovery NEST26","3_validation_nest26/summary_by_family_across_seeds.csv","results/3_validation_nest26/summary_by_family_across_seeds.csv","Family-level summary across seeds"
"Phase 2 expanded discovery NEST26","3_validation_nest26/ga_winner_candidates_for_q1.csv","results/3_validation_nest26/ga_winner_candidates_for_q1.csv","Candidates passed to fixed-weight validation; historical filename retained"
"Phase 2 fixed-weight validation","4_fixed_weight_validation_nest26/README.md","results/4_fixed_weight_validation_nest26/README.md","Stage guide"
"Phase 2 fixed-weight validation","4_fixed_weight_validation_nest26/strict_validation_tables/post_discovery_fixed_weight_validation_final_decision_table.csv","results/4_fixed_weight_validation_nest26/strict_validation_tables/post_discovery_fixed_weight_validation_final_decision_table.csv","Final fixed-weight validation decisions"
"Phase 2 fixed-weight validation","4_fixed_weight_validation_nest26/root_summaries/post_discovery_fixed_weight_validation_stability_summary.csv","results/4_fixed_weight_validation_nest26/root_summaries/post_discovery_fixed_weight_validation_stability_summary.csv","Regime stability summary"
"Evidence taxonomy NEST26","5_evidence_taxonomy_nest26/README.md","results/5_evidence_taxonomy_nest26/README.md","Stage guide"
"Evidence taxonomy NEST26","5_evidence_taxonomy_nest26/tables/evidence_taxonomy_all_candidates.csv","results/5_evidence_taxonomy_nest26/tables/evidence_taxonomy_all_candidates.csv","Complete candidate taxonomy"
"Evidence taxonomy NEST26","5_evidence_taxonomy_nest26/tables/validated_specialists.csv","results/5_evidence_taxonomy_nest26/tables/validated_specialists.csv","Validated specialist candidates"
"Evidence taxonomy NEST26","5_evidence_taxonomy_nest26/tables/evidence_grade_counts.csv","results/5_evidence_taxonomy_nest26/tables/evidence_grade_counts.csv","Counts by evidence grade"
"Real-world external battery","6_realworld_external_battery/README.md","results/6_realworld_external_battery/README.md","Stage guide"
"Real-world external battery","6_realworld_external_battery/02_reports/REALWORLD_EXTERNAL_BATTERY_RESULTS_REPORT.md","results/6_realworld_external_battery/02_reports/REALWORLD_EXTERNAL_BATTERY_RESULTS_REPORT.md","Human-readable external-validation report"
"Real-world external battery","6_realworld_external_battery/01_results_basic/external_primary_results_compact.csv","results/6_realworld_external_battery/01_results_basic/external_primary_results_compact.csv","Compact dataset-level results"
"Real-world external battery","6_realworld_external_battery/01_results_basic/external_fdr_survivors_dataset_level.csv","results/6_realworld_external_battery/01_results_basic/external_fdr_survivors_dataset_level.csv","Dataset-level FDR survivors"
"Real-world external battery","6_realworld_external_battery/03_audit_ready/external_dataset_registry.csv","results/6_realworld_external_battery/03_audit_ready/external_dataset_registry.csv","External dataset provenance and diagnostics"
"Random Dirichlet abstention audit","7_random_dirichlet_abstain_audit/README.md","results/7_random_dirichlet_abstain_audit/README.md","Stage guide"
"Random Dirichlet abstention audit","7_random_dirichlet_abstain_audit/tables/abstain_audit_results.csv","results/7_random_dirichlet_abstain_audit/tables/abstain_audit_results.csv","Regime-mode audit results"
"Random Dirichlet abstention audit","7_random_dirichlet_abstain_audit/tables/abstain_audit_summary_by_regime.csv","results/7_random_dirichlet_abstain_audit/tables/abstain_audit_summary_by_regime.csv","Regime-level audit summary"
"Random Dirichlet abstention audit","7_random_dirichlet_abstain_audit/tables/gate_sanity_transfer_specialists.csv","results/7_random_dirichlet_abstain_audit/tables/gate_sanity_transfer_specialists.csv","Transfer-specialist gate check"
